company name,date,share div,cash div
ACB,6/2/2022,0.25,0
ACB,6/10/2021,0.25,0
ACB,8/20/2020,0.3,0
ACB,7/25/2019,0.3,0
ACB,9/6/2018,0.15,0
BCM,10/28/2022,0,700
BCM,12/30/2021,0,400
BCM,9/6/2021,0,400
BCM,12/22/2020,0,400
BCM,8/1/2019,0,600
BID,12/23/2021,0.26,0
BID,1/24/2022,0,200
BID,12/12/2019,0,700
BID,12/12/2019,0,700
BVH,12/28/2022,0,3026
BVH,11/30/2021,0,899
BVH,11/10/2020,0,800
BVH,12/10/2019,0,1000
BVH,8/31/2018,0,1000
CTG,1/17/2022,0,800
CTG,7/7/2021,0.29,0
CTG,12/30/2020,0,500
FPT,9/12/2022,0,1000
FPT,6/13/2022,0.25,0
FPT,6/27/2022,0,1000
FPT,9/1/2021,0,1000
FPT,6/1/2021,0.15,0
FPT,6/16/2021,0,1000
FPT,9/1/2020,0,1000
FPT,5/13/2020,0.15,0
FPT,6/5/2020,0,1000
FPT,8/30/2019,0,1000
FPT,5/17/2019,0.1,0
FPT,6/7/2019,0,1000
GAS,10/3/2022,0,3000
GAS,10/6/2021,0,3000
GAS,10/30/2020,0,3500
GAS,9/30/2019,0,1000
GAS,9/30/2019,0,1300
GAS,6/6/2019,0,2000
GVR,10/27/2022,0,410
GVR,10/28/2021,0,600
GVR,10/9/2020,0,600
GVR,8/26/2019,0,250
HDB,9/27/2022,0.25,0
HDB,8/26/2021,0.25,0
HDB,11/27/2020,0.27,0
HDB,10/1/2020,0.15,0
HDB,10/1/2020,0.15,0
HDB,7/5/2018,0,1300
HPG,6/17/2022,0.3,0
HPG,7/6/2022,0,500
HPG,5/31/2021,0.35,0
HPG,6/11/2021,0,500
HPG,7/29/2020,0.2,0
HPG,8/7/2020,0,500
HPG,6/4/2019,0.3,0
HPG,6/12/2018,0.4,0
MBB,8/22/2022,0.2,0
MBB,7/12/2021,0.35,0
MBB,10/5/2020,0.15,0
MBB,9/18/2019,0.08,0
MBB,4/26/2019,0,600
MBB,7/6/2018,0.14,0
MBB,7/6/2018,0.05,0
MBB,1/31/2018,0,600
MSN,7/13/2022,0,800
MSN,4/12/2022,0.2,0
MSN,12/24/2021,0,250
MSN,7/16/2021,0,950
MSN,12/30/2020,0,1000
MWG,6/16/2022,1,0
MWG,6/17/2022,0,1000
MWG,8/30/2021,0.5,0
MWG,9/13/2021,0,500
MWG,10/30/2020,0,1500
MWG,6/11/2019,0,1500
MWG,11/19/2018,0.33,0
MWG,5/11/2018,0,1500
NVL,11/11/2022,0.25,0
NVL,12/24/2021,0.31,0
NVL,6/9/2021,0.36,0
NVL,1/20/2021,0.08,0
NVL,3/27/2018,0.31,0
PDR,4/20/2022,0.36,0
PDR,4/26/2021,0.12,0
PDR,3/23/2021,0.1,0
PDR,11/6/2020,0.07,0
PDR,5/22/2020,0.13,0
PDR,1/8/2020,0,1200
PDR,4/24/2019,0.23,0
PDR,4/27/2018,0.2,0
PLX,11/29/2022,0,1200
PLX,7/6/2021,0,1200
PLX,9/22/2020,0,1000
PLX,4/27/2020,0,2000
PLX,7/23/2019,0,2600
PLX,7/24/2018,0,3000
POW,11/4/2021,0,200
POW,12/10/2020,0,300
SAB,1/11/2023,0,2500
SAB,3/23/2022,0,1500
SAB,1/27/2022,0,2000
SAB,3/26/2021,0,1500
SAB,12/18/2020,0,2000
SAB,3/9/2020,0,3500
SAB,9/27/2019,0,1500
SAB,12/12/2018,0,2000
SAB,10/31/2018,0,1500
SAB,1/23/2018,0,3500
SSI,6/22/2022,0.5,0
SSI,7/20/2022,0,1000
SSI,9/8/2021,0.166666667,0
SSI,9/8/2021,0.333333333,0
SSI,7/15/2021,0,1000
SSI,7/31/2020,0,1000
SSI,4/9/2020,0.16,0
SSI,10/24/2019,0,1000
SSI,10/19/2018,0,1000
STB,2/14/2023,0,0
TCB,7/5/2018,2,0
TPB,3/3/2023,0,2500
TPB,12/20/2021,0.35,0
TPB,11/30/2020,0.02,0
TPB,11/30/2020,0.2,0
TPB,12/7/2018,0.2,0
TPB,12/7/2018,0.08,0
VCB,12/22/2021,0.28,0
VCB,1/5/2022,0,1200
VCB,1/8/2021,0,800
VCB,1/15/2020,0,800
VCB,10/25/2018,0,800
VHM,6/22/2022,0,2000
VHM,9/15/2021,0.3,0
VHM,10/1/2021,0,1500
VHM,9/9/2019,0,1000
VHM,10/8/2018,0.25,0
VIB,3/3/2023,0,1000
VIB,5/13/2022,0.35,0
VIB,6/9/2021,0.4,0
VIB,11/19/2020,0.2,0
VIB,8/14/2019,0.18,0
VIB,7/5/2019,0.03,0
VIB,7/8/2019,0,567
VIB,11/16/2018,0.41,0
VIB,12/10/2018,0,498
VIC,8/17/2021,0.12,0
VIC,6/28/2018,0.21,0
VJC,5/10/2019,0,1000
VJC,9/19/2018,0,2000
VJC,6/29/2018,0.2,0
VJC,5/25/2018,0,1000
VJC,2/7/2018,0,1000
VNM,2/28/2023,0,1400
VNM,8/19/2022,0,1500
VNM,8/19/2022,0,950
VNM,2/25/2022,0,1400
VNM,9/30/2021,0,1500
VNM,6/30/2021,0,1100
VNM,2/26/2021,0,1000
VNM,9/29/2020,0.2,0
VNM,10/15/2020,0,2000
VNM,7/15/2020,0,1500
VNM,2/28/2020,0,1000
VNM,9/26/2019,0,2000
VNM,6/26/2019,0,1500
VNM,2/28/2019,0,1000
VNM,9/5/2018,0.2,0
VNM,9/26/2018,0,2000
VNM,6/26/2018,0,1500
VNM,3/30/2018,0,1500
VPB,9/28/2022,0.5,0
VPB,10/7/2021,0.18,0
VPB,10/7/2021,0.62,0
VPB,6/18/2018,0.32,0
VPB,6/18/2018,0.3,0
VRE,6/20/2019,0,1050
VRE,10/31/2018,0.23,0
