symbol,begin,end
VN30F2212,22/04/2022,15/12/2022
VN30F2211,16/09/2022,17/11/2022
VN30F2210,19/08/2022,20/10/2022
VN30F2209,21/01/2022,15/09/2022
VN30F2208,17/06/2022,18/08/2022
VN30F2207,20/05/2022,21/07/2022
VN30F2206,22/10/2021,16/06/2022
VN30F2205,18/03/2022,19/05/2022
VN30F2204,18/02/2022,21/04/2022
VN30F2203,16/07/2021,17/03/2022
VN30F2202,17/12/2021,17/02/2022
VN30F2201,19/11/2021,20/01/2022
VN30F2112,16/04/2021,16/12/2021
VN30F2111,17/09/2021,18/11/2021
VN30F2110,20/08/2021,21/10/2021
VN30F2109,22/01/2021,16/09/2021
VN30F2108,18/06/2021,19/08/2021
VN30F2107,21/05/2021,15/07/2021
VN30F2106,16/10/2020,17/06/2021
VN30F2105,19/03/2021,20/05/2021
VN30F2104,19/02/2021,15/04/2021
VN30F2103,17/07/2020,18/03/2021
VN30F2102,18/12/2020,18/02/2021
VN30F2101,20/11/2020,21/01/2021
VN30F2012,17/04/2020,17/12/2020
VN30F2011,18/09/2020,19/11/2020
VN30F2010,21/08/2020,15/10/2020
VN30F2009,17/01/2020,17/09/2020
VN30F2008,19/06/2020,20/08/2020
VN30F2007,22/05/2020,16/07/2020
VN30F2006,18/10/2019,18/06/2020
VN30F2005,20/03/2020,21/05/2020
VN30F2004,21/02/2020,16/04/2020
VN30F2003,19/07/2019,19/03/2020
VN30F2002,20/12/2019,20/02/2020
VN30F2001,22/11/2019,16/01/2020
VN30F1912,19/04/2019,19/12/2019
VN30F1911,20/09/2019,21/11/2019
VN30F1910,16/08/2019,17/10/2019
VN30F1909,18/01/2019,19/09/2019
VN30F1908,21/06/2019,15/08/2019
VN30F1907,17/05/2019,18/07/2019
VN30F1906,19/10/2018,20/06/2019
VN30F1905,22/03/2019,16/05/2019
VN30F1904,21/02/2019,18/04/2019
VN30F1903,20/07/2018,21/03/2019
VN30F1902,21/12/2018,21/02/2019
VN30F1901,16/11/2018,17/01/2019
VN30F1812,20/04/2018,20/12/2018
VN30F1811,21/09/2018,15/11/2018
VN30F1810,17/08/2018,18/10/2018
VN30F1809,19/01/2018,20/09/2018
VN30F1808,22/06/2018,16/08/2018
VN30F1807,18/05/2018,19/07/2018
VN30F1806,20/10/2017,21/06/2018
VN30F1805,16/03/2018,17/05/2018
VN30F1804,21/02/2018,19/04/2018
VN30F1803,10/8/2017,15/03/2018
VN30F1802,22/12/2017,13/02/2018
VN30F1801,17/11/2017,18/01/2018
VN30F1712,10/8/2017,21/12/2017
VN30F1711,22/09/2017,16/11/2017
VN30F1710,18/08/2017,19/10/2017
VN30F1709,10/8/2017,21/09/2017
VN30F1708,10/8/2017,17/08/2017
